value,description,Environmental_Variable
0,nodata,grtgroup
1,albaqualfs,grtgroup
2,cryaqualfs,grtgroup
4,durixeralfs,grtgroup
6,endoaqualfs,grtgroup
7,epiaqualfs,grtgroup
9,fragiaqualfs,grtgroup
10,fragiudalfs,grtgroup
11,fragixeralfs,grtgroup
12,fraglossudalfs,grtgroup
13,glossaqualfs,grtgroup
14,glossocryalfs,grtgroup
15,glossudalfs,grtgroup
16,haplocryalfs,grtgroup
17,haploxeralfs,grtgroup
18,hapludalfs,grtgroup
19,haplustalfs,grtgroup
25,natraqualfs,grtgroup
26,natrixeralfs,grtgroup
27,natrudalfs,grtgroup
28,natrustalfs,grtgroup
29,palecryalfs,grtgroup
30,paleudalfs,grtgroup
31,paleustalfs,grtgroup
32,palexeralfs,grtgroup
38,rhodustalfs,grtgroup
39,vermaqualfs,grtgroup
41,eutroboralfs,grtgroup
42,ochraqualfs,grtgroup
43,glossoboralfs,grtgroup
44,cryoboralfs,grtgroup
45,natriboralfs,grtgroup
46,paleboralfs,grtgroup
50,cryaquands,grtgroup
58,fulvicryands,grtgroup
59,fulvudands,grtgroup
61,haplocryands,grtgroup
63,haploxerands,grtgroup
64,hapludands,grtgroup
74,udivitrands,grtgroup
75,ustivitrands,grtgroup
76,vitraquands,grtgroup
77,vitricryands,grtgroup
80,vitrixerands,grtgroup
82,aquicambids,grtgroup
83,aquisalids,grtgroup
85,argidurids,grtgroup
86,argigypsids,grtgroup
87,calciargids,grtgroup
89,calcigypsids,grtgroup
90,gypsiargids,grtgroup
92,haplargids,grtgroup
93,haplocalcids,grtgroup
94,haplocambids,grtgroup
96,haplodurids,grtgroup
97,haplogypsids,grtgroup
98,haplosalids,grtgroup
99,natrargids,grtgroup
100,natridurids,grtgroup
101,natrigypsids,grtgroup
102,paleargids,grtgroup
103,petroargids,grtgroup
104,petrocalcids,grtgroup
105,petrocambids,grtgroup
107,petrogypsids,grtgroup
110,calciorthids,grtgroup
111,camborthids,grtgroup
112,paleorthids,grtgroup
113,durorthids,grtgroup
114,durargids,grtgroup
115,gypsiorthids,grtgroup
116,nadurargids,grtgroup
118,cryaquents,grtgroup
119,cryofluvents,grtgroup
120,cryopsamments,grtgroup
121,cryorthents,grtgroup
122,endoaquents,grtgroup
123,epiaquents,grtgroup
124,fluvaquents,grtgroup
126,frasiwassents,grtgroup
131,hydraquents,grtgroup
133,psammaquents,grtgroup
134,psammowassents,grtgroup
135,quartzipsamments,grtgroup
136,sulfaquents,grtgroup
137,sulfiwassents,grtgroup
138,torrifluvents,grtgroup
139,torriorthents,grtgroup
140,torripsamments,grtgroup
141,udifluvents,grtgroup
142,udipsamments,grtgroup
143,udorthents,grtgroup
144,ustifluvents,grtgroup
145,ustipsamments,grtgroup
146,ustorthents,grtgroup
147,xerofluvents,grtgroup
148,xeropsamments,grtgroup
149,xerorthents,grtgroup
153,udarents,grtgroup
154,torriarents,grtgroup
155,xerarents,grtgroup
179,cryofibrists,grtgroup
180,cryofolists,grtgroup
181,cryohemists,grtgroup
182,cryosaprists,grtgroup
183,frasiwassists,grtgroup
184,haplofibrists,grtgroup
185,haplohemists,grtgroup
186,haplosaprists,grtgroup
189,sphagnofibrists,grtgroup
190,sulfihemists,grtgroup
191,sulfisaprists,grtgroup
196,udifolists,grtgroup
201,borosaprists,grtgroup
202,medisaprists,grtgroup
203,borohemists,grtgroup
206,calcicryepts,grtgroup
207,calciustepts,grtgroup
208,calcixerepts,grtgroup
209,cryaquepts,grtgroup
210,durixerepts,grtgroup
212,durustepts,grtgroup
213,dystrocryepts,grtgroup
215,dystroxerepts,grtgroup
216,dystrudepts,grtgroup
217,dystrustepts,grtgroup
218,endoaquepts,grtgroup
219,epiaquepts,grtgroup
220,eutrudepts,grtgroup
221,fragiaquepts,grtgroup
222,fragiudepts,grtgroup
225,halaquepts,grtgroup
226,haplocryepts,grtgroup
228,haploxerepts,grtgroup
229,haplustepts,grtgroup
